channel_id,channel_title,subscriber_count,video_count,view_count,published_at,growth_score,ai_relevance_score,thumbnail_url,custom_url,country,description_snippet
UCNU_lfiiWBdtULKOw6X0Dig,Krish Naik,1230000,2034,120221703,2012-02-11T04:05:06Z,1000.0,100,https://yt3.ggpht.com/r0lRsN4EgVg_h9TfhKoK-oa9SGtmC4QxvwhEYFB4VWoRXtxsQoyhh2WvrRxpxciTYwh4D4_W=s88-c-k-c0x00ffffff-no-rj,@krishnaik06,IN,"I am the Founder of KrishAI Technologies Private Limited and my experience is pioneering in machine learning, deep learning, and computer vision,an educator, and a mentor, with over 10 years' experien..."
UChpleBmo18P08aKCIgti38g,Matt Wolfe,785000,459,60386176,2009-04-08T19:44:18Z,295.01,30,https://yt3.ggpht.com/Xfsv8L8S4Dt2PPpgaexoMluK9gkm4H77TY-Sae7DbY8qKSaGI0FOS_uzw65kxVtdQlYvc02bB6k=s88-c-k-c0x00ffffff-no-rj,@mreflow,US,"AI News Breakdowns every Saturday and other cool nerdy tech and AI stuff in between. 

Let’s work together!
- For brand & sponsorship inquiries: https://tally.so/r/nrBVlp
- For other business inquirie..."
UCTt7pyY-o0eltq14glaG5dg,Automation Step by Step,560000,1243,80605314,2016-01-02T13:18:47Z,1000.0,45,https://yt3.ggpht.com/5tuEbFkSPMSlo7DHp4wRIEHS9uyQ1DajIdLen3Z51snG-LyN_AiZybLQp97HUy75kILxK1gs2Q=s88-c-k-c0x00ffffff-no-rj,@raghavpal,IN,"Simple Basic Beginners Step-by-Step tutorials ❤️

I create videos on Automation, Testing, DevOps, CI and related tools, technologies and platform

Raghav is a teacher and founder of AutomationStepBySt..."
UCCWi3hpnq_Pe03nGxuS7isg,CampusX,360000,1259,43778032,2019-04-17T19:32:35Z,1000.0,60,https://yt3.ggpht.com/ytc/AIdro_lUgoevWNPCGZJowMs4p6mlt8HdQWdBWvKC47sfvAJ16FM=s88-c-k-c0x00ffffff-no-rj,@campusx-official,IN,"Hello, I'm Nitish Singh, the founder of CampusX, your online gateway into the world of data science! At CampusX, we believe that quality education is a universal right, not a privilege. We aim to prov..."
UCMLtBahI5DMrt0NPvDSoIRQ,Machine Learning Street Talk,196000,290,10753877,2020-04-09T18:54:44.486149Z,553.29,70,https://yt3.ggpht.com/9y2g_vS6OVoWBtdpObktnzhoel7eGSe-RQSQqrdDjSlRAbDJnOw-sn-CtNZcb1o5eLbVYy2pEg=s88-c-k-c0x00ffffff-no-rj,@machinelearningstreettalk,GB,"MLST is the top technical AI podcast on Spotify. Subscribe now! Welcome! We bring you the latest in advanced AI research, from the best AI experts in the world. Our approach is unrivalled in terms of ..."
UCmpptkXu8iIFe6kfDK5o7VQ,Machine Learnia,182000,81,10996303,2019-03-10T15:45:43Z,140.9,60,https://yt3.ggpht.com/ytc/AIdro_k6WXeB62bNV3hPynYcbRHUAJkdJ_YWAhARBzDn7fNeXeA=s88-c-k-c0x00ffffff-no-rj,@machinelearnia,GB,"Je m’appelle Guillaume Saint-Cirgue et je suis développeur Machine Learning au Royaume Uni.

Je suis passionné par le Machine Learning et le Deep Learning et c'est pourquoi j'ai ouvert cette chaîne Yo..."
UCKelCK4ZaO6HeEI1KQjqzWA,The AI Daily Brief: Artificial Intelligence News,125000,1067,3933112,2023-04-09T23:33:34.004746Z,1000.0,45,https://yt3.ggpht.com/Lmzbtex5T5--hgnqhJcfylQrGrN0QcszvgP4hhF1HwSQf1vlngIv_QTfVsmx6rP5Zqecf2R5q7A=s88-c-k-c0x00ffffff-no-rj,@aidailybrief,US,"Daily videos that help you understand the most important news and discussions in AI. 

Listen to the AI Daily Brief as a podcast here: https://pod.link/1680633614
Subscribe to the newsletter: https://..."
UC7C8Rq8FTgNn5mcXr-MjYAw,IT and Automation Academy,111000,399,6296340,2014-01-20T14:27:12Z,348.58,30,https://yt3.ggpht.com/ytc/AIdro_mWPLOLPQHf-WbhCMNgw9QQ9pClwN-TaKiwQB9K4L8gID8=s88-c-k-c0x00ffffff-no-rj,@itandautomationacademy,AE,"The IT and Automation Academy offers training on PLC, SCADA, DCS, Process Instrumentation, HMI, Modbus, OPC, Canbus, Electrical Drives, and Internet of Things. Additionally, you can find final year en..."
UCnfaBjtUeuVoUrTuBBGH40g,ChatGPT Tutorials,111000,34,3720660,2022-12-18T08:10:48.766871Z,142.54,40,https://yt3.ggpht.com/jwMX6T3DauyuN-O9PX0s5fkXC9FeqJek4qCKkzjkE034RIXA_OuVOsCUGO_acphGyhwVuIW4bao=s88-c-k-c0x00ffffff-no-rj,@chatgpt-ai,IN,"I am MNick a Software Engineer and This is my Channel. I publish videos related to App development using  OpenAI's ChatGPT , Dall-E ,OpenaAI's Codex and other AI tools . There are lot's of things that..."
UC67SMH0qLMJ4b4Guud0mKjw,Home Automation Guy,106000,100,7169651,2021-03-24T22:32:52.075229Z,238.77,30,https://yt3.ggpht.com/ytc/AIdro_lmKnFHu3l71_kzjRxLKULlAjvGR6PklJG8mCm6c4Zh4Q=s88-c-k-c0x00ffffff-no-rj,@homeautomationguy,GB,"Welcome! I'm Alan Byrne, the Home Automation Guy, and I'm here to show you what I've learned on my Home Automation journey, so that together we can make your home smarter.  

My aim is to help make Ho..."
UCO1aucBAJgFR8odzfXOZ5uw,Execute Automation,105000,1236,17342850,2014-11-14T08:09:44Z,1000.0,30,https://yt3.ggpht.com/ytc/AIdro_ll1G6DqIY5yo_5oqdpdAUh37VrAuSS2bwmMSH9Mar4KpU=s88-c-k-c0x00ffffff-no-rj,@executeautomation,IN,"ExecuteAutomation Channel brings you all the automation testing related videos for FREE.

The intention of this channel is to provide training on BDD,Selenium, Appium, Specflow, Automation Framework D..."
UC35ZpwldGw7ZJ5R-2sLijzw,Really Easy AI - Tutorials for Everyone,104000,546,613008,2023-11-11T19:36:26.218115Z,1000.0,80,https://yt3.ggpht.com/DKZa3kol0aC5MOuatFw0q2TdcLaq3R03s9JLWDczAk3d7qcnpD-L7lhzV6hrHZ5WG2rheFUMRhg=s88-c-k-c0x00ffffff-no-rj,@reallyeasyai,US,"Welcome to ReallyEasy.AI – Artificial Intelligence (AI), ChatGPT, Large Language Models (LLM), Machine Learning, Technology, Coding, Tutorials, AI News, and more!

This is where artificial intelligenc..."
UCDZfn935vwaahDabsfylfIQ,AI News,88600,953,11641575,2022-02-28T03:10:31.061038Z,1000.0,90,https://yt3.ggpht.com/Di4YN2B2Xf_HKQGhsxscwiQswdTPW15__phaUC487Gj2mYb-hp_2zIiqS7G5PKKM8CZUTIkikQ=s88-c-k-c0x00ffffff-no-rj,@ainewsofficial,US,"AI News delivers the latest breakthroughs in artificial intelligence, machine learning, deep learning, brain computer interface, robotics, and other future technology in an educational format.

Premiu..."
UC12LqyqTQYbXatYS9AA7Nuw,Machine Learning University - Educator Enablement,84100,13,4630,2020-07-06T13:53:08.281728Z,25.85,80,https://yt3.ggpht.com/cAzpEYvh4Hcq6lQPUpkwd-i7FcG4bqeLQ6MWxke5_2KK9GdNKu-6ExjtcsX_Ongi1s9KBGWf7A=s88-c-k-c0x00ffffff-no-rj,@machinelearninguniversity,,"Welcome to the Machine Learning University's Educator Enablement channel! 

AWS Machine Learning University (MLU) equips educators with tools and knowledge to teach artificial intelligence and machine..."
UCsh8qhZ4Wm2IJDRsNr_5Z0A,Smitha Kolan - Machine Learning Engineer,68100,88,2794356,2015-02-09T02:02:02Z,87.44,50,https://yt3.ggpht.com/ytc/AIdro_lbd3eGLOoWoH6FME72X8NP1GaHSUsAHTAr-XAihms1A--b=s88-c-k-c0x00ffffff-no-rj,@smithakolan,CA,"Smitha Kolan is a Machine Learning Engineer, YouTuber, and an Educator. She is a highly sought after expert in Machine Learning & AI and she is on a mission to help you understand these technologies...."
UCaTLYafbnTJ7NyoO9atZSjw,Haradhan Automation Library,59100,490,455890,2019-12-03T04:36:49.04839Z,870.83,40,https://yt3.ggpht.com/ytc/AIdro_lY0nG5L60v4CpBoPimjoKTwi28iuoX8foKhsRp-xq_zQ=s88-c-k-c0x00ffffff-no-rj,@haradhanautomationlibrary,IN,"Hello All,
Myself Haradhan working for a Major IT giant since last 16+ years. I have created this channel to add more videos on Basic Automation, Selenium, WebDriver, Basic and Advanced Java, Python, ..."
